Diameter,Material,Sample,Pressure,Dt1,Dt2,Dt3,Full dt,Gyro speed,Amplitude,Omega,Zeta
20,60,2,125,0.01191,0.01488,0.0119,0.03869,2051,-0.982441974,40.90117113,0.064180406
20,60,2,125,0.01489,0.0119,0.01488,0.04167,834,-0.954985493,40.21809328,0.064557594
20,60,2,125,0.0119,0.01489,0.01191,0.0387,1684,-0.982512984,40.86996795,0.063208832
20,60,2,150,0.0119,0.01491,0.0119,0.03871,1613,-0.982474944,40.8066425,0.063330748
20,60,2,150,0.0119,0.01491,0.0119,0.03871,1613,-0.982474944,40.8066425,0.063330748
20,60,2,150,0.0119,0.01491,0.0119,0.03871,1613,-0.982474944,40.8066425,0.063330748
20,70,1,-50,0.02051,0.03589,0.02978,0.08618,1025,-0.919722688,18.74456376,0.10482093
20,70,1,-50,0.02075,0.0387,0.02966,0.08911,1629,-1.006447791,18.29473611,0.061434031
20,70,1,-50,0.02087,0.0387,0.02673,0.0863,1248,-1.002509394,18.13985434,0.061457135
20,70,1,0,0.01783,0.0238,0.01782,0.05945,1857,-0.849864304,30.32807861,0.105237836
20,70,1,0,0.01489,0.02381,0.02087,0.05957,1641,-0.881757352,29.80283522,0.106889622
20,70,1,0,0.01783,0.02392,0.01782,0.05957,1883,-0.910674437,29.70993792,0.109885077
20,70,1,50,0.01184,0.01795,0.01196,0.04175,1081,-0.989067301,37.72948779,0.089207896
20,70,1,50,0.01184,0.01489,0.01489,0.04162,1261,-0.971884944,38.69480265,0.085054001
20,70,1,50,0.01184,0.01782,0.01196,0.04162,1515,-0.951657807,38.84582778,0.084717672
20,70,1,75,0.01196,0.01477,0.01197,0.0387,1323,-1.028620668,41.50324584,0.079534273
20,70,1,75,0.00891,0.01489,0.01185,0.03565,1315,-0.981375781,42.57637119,0.073593387
20,70,1,75,0.00903,0.01782,0.00903,0.03588,1351,-0.915919347,43.18949714,0.068557503
20,70,1,100,0.00904,0.01489,0.00879,0.03272,1662,-1.005170179,44.65706842,0.066388842
20,70,1,100,0.00879,0.0149,0.0122,0.03589,1709,-0.895374472,45.64965582,0.057717134
20,70,1,100,0.00904,0.01465,0.0122,0.03589,820,-0.870300675,46.55092671,0.061422829
20,70,1,125,0.00879,0.01489,0.00903,0.03271,1341,-0.885951102,47.85726386,0.046796567
20,70,1,125,0.00903,0.01172,0.01221,0.03296,1155,-0.883294122,47.85513894,0.047070682
20,70,1,125,0.00903,0.01172,0.01196,0.03271,2161,-0.921019741,47.67153832,0.048539274
20,70,1,150,0.00879,0.01221,0.00878,0.02978,1453,-0.900636443,48.52081941,0.04413418
20,70,1,150,0.00586,0.01489,0.00879,0.02954,1575,-0.911284337,48.32982806,0.044956525
20,70,1,150,0.00904,0.01171,0.00904,0.02979,1446,-0.917480628,48.574503,0.044297009
20,82,1,-50,0.01785,0.03274,0.02679,0.07738,315,-1.019903776,23.02595683,0.094029598
20,82,1,-50,0.01807,0.03857,0.02979,0.08643,2324,-0.958851333,22.02671032,0.102959691
20,82,1,-50,0.01514,0.0415,0.02686,0.0835,2171,-0.999995636,21.83209323,0.098012804
